Time,Text,Prediction,Score,Level,Confidence
23:49:03,,NORMAL_CALLS,-5,LOW,73.0
23:49:07,,NORMAL_CALLS,-5,LOW,74.0
23:49:11,,NORMAL_CALLS,-5,LOW,73.0
23:49:16,,NORMAL_CALLS,-5,LOW,74.0
23:49:20,,NORMAL_CALLS,-5,LOW,74.0
23:49:25,,NORMAL_CALLS,-5,LOW,73.0
23:49:29,,NORMAL_CALLS,-5,LOW,73.0
23:49:33,,NORMAL_CALLS,-5,LOW,72.0
23:49:38,,NORMAL_CALLS,-5,LOW,73.0
23:49:42,,NORMAL_CALLS,-5,LOW,73.0
23:49:46,,NORMAL_CALLS,-5,LOW,77.0
23:49:51,,NORMAL_CALLS,-5,LOW,73.0
23:49:55,,NORMAL_CALLS,-5,LOW,72.0
23:49:59,,NORMAL_CALLS,-5,LOW,73.0
23:50:04,,NORMAL_CALLS,-5,LOW,77.0
23:50:08,,NORMAL_CALLS,-5,LOW,78.0
23:50:13,,NORMAL_CALLS,-5,LOW,75.0
23:50:17,,NORMAL_CALLS,-5,LOW,78.0
23:50:21,,NORMAL_CALLS,-5,LOW,80.0
23:50:26,,NORMAL_CALLS,-5,LOW,77.0
23:50:30,,NORMAL_CALLS,-5,LOW,73.0
23:50:35,,NORMAL_CALLS,-5,LOW,78.0
23:50:39,,NORMAL_CALLS,-5,LOW,78.0
23:50:43,,NORMAL_CALLS,-5,LOW,74.0
23:50:48,,NORMAL_CALLS,-5,LOW,76.0
23:50:54,,NORMAL_CALLS,-5,LOW,75.0
23:50:58,,NORMAL_CALLS,-5,LOW,75.0
23:51:03,,NORMAL_CALLS,-5,LOW,68.0
23:51:07,,NORMAL_CALLS,-5,LOW,75.0
23:51:11,,NORMAL_CALLS,-5,LOW,68.0
23:51:16,,NORMAL_CALLS,-5,LOW,75.0
23:51:20,,NORMAL_CALLS,-5,LOW,70.0
23:51:25,,NORMAL_CALLS,-5,LOW,70.0
23:51:29,,NORMAL_CALLS,-5,LOW,71.0
23:51:33,,NORMAL_CALLS,-5,LOW,74.0
23:51:38,,NORMAL_CALLS,-5,LOW,79.0
23:51:42,,NORMAL_CALLS,-5,LOW,57.0
23:51:47,,NORMAL_CALLS,-5,LOW,72.0
23:51:51,,NORMAL_CALLS,-5,LOW,72.0
23:51:55,,NORMAL_CALLS,-5,LOW,76.0
23:52:00,,NORMAL_CALLS,-5,LOW,79.0
23:52:04,,NORMAL_CALLS,-5,LOW,79.0
23:52:08,,NORMAL_CALLS,-5,LOW,74.0
23:52:13,,NORMAL_CALLS,-5,LOW,79.0
23:52:18,,NORMAL_CALLS,-5,LOW,79.0
23:52:23,,NORMAL_CALLS,-5,LOW,77.0
23:52:28,,NORMAL_CALLS,-5,LOW,76.0
23:52:32,,NORMAL_CALLS,-5,LOW,74.0
23:52:36,,NORMAL_CALLS,-5,LOW,80.0
23:52:41,,NORMAL_CALLS,-5,LOW,81.0
23:52:45,,NORMAL_CALLS,-5,LOW,78.0
16:11:51,hello i am really concerned about your account safety there seems to be some unusual activity i don't want you to lose your money can you please help me verify your details quickly,SCAM_CALLS,95,HIGH,90.0
16:15:02,,NORMAL_CALLS,-5,LOW,73.0
16:26:11,,NORMAL_CALLS,-5,LOW,73.0
16:26:21,,NORMAL_CALLS,-5,LOW,73.0
16:26:29,,NORMAL_CALLS,-5,LOW,73.0
16:26:38,,NORMAL_CALLS,-5,LOW,73.0
16:26:50,,NORMAL_CALLS,-5,LOW,73.0
16:27:01,,NORMAL_CALLS,-5,LOW,73.0
16:27:17,,NORMAL_CALLS,-5,LOW,73.0
16:28:03,,NORMAL_CALLS,-5,LOW,73.0
16:28:21,hello i am really concerned about your account safety there seems to be some unusual activity i don't want you to lose your money can you please help me verify your details quickly,SCAM_CALLS,95,HIGH,90.0
16:39:30,,NORMAL_CALLS,-5,LOW,73.0
16:39:47,,NORMAL_CALLS,-5,LOW,73.0
